Model,Context Length,With Message,Accuracy,F1,Precision,Recall,Inference Time
qwen_qwen3-14b_Two_shot,8192,Yes,0.29,0.66,0.66,0.7,9.757940808931986
qwen_qwen3-14b_Two_shot,12288,Yes,0.29,0.67,0.66,0.7,9.999047321364992
qwen_qwen3-14b_Zero_shot,1024,No,0.31,0.64,0.64,0.68,4.2815589439301265
qwen_qwen3-14b_Zero_shot,1024,Yes,0.38,0.7,0.69,0.74,4.087434736887614
qwen_qwen3-14b_Zero_shot,2048,No,0.34,0.65,0.65,0.68,5.5963221493221464
qwen_qwen3-14b_Zero_shot,2048,Yes,0.34,0.68,0.66,0.73,5.388637366748991
qwen_qwen3-14b_Zero_shot,4096,No,0.32,0.65,0.65,0.67,7.056304103987557
qwen_qwen3-14b_Zero_shot,4096,Yes,0.34,0.68,0.67,0.72,6.750663642656235
qwen_qwen3-14b_Zero_shot,8192,No,0.32,0.65,0.66,0.68,8.757810051100595
qwen_qwen3-14b_Zero_shot,8192,Yes,0.34,0.69,0.68,0.73,8.156681997435433
qwen_qwen3-14b_Zero_shot,12288,No,0.31,0.65,0.65,0.67,9.217025105158488
qwen_qwen3-14b_Zero_shot,12288,Yes,0.33,0.68,0.67,0.72,9.605628635769799
