Model,Context Length,With Message,Concern Count,Accuracy,F1,Precision,Recall,Inference Time
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,1,0.76,0.8,0.79,0.82,0.977888907155683
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,2,0.61,0.8,0.8,0.81,1.1129318907640982
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,3,0.35,0.76,0.8,0.74,1.213984018639673
gpt-4.1-2025-04-14_TWO_SHOT,1024,Yes,1,0.76,0.8,0.79,0.82,1.0312538108518046
gpt-4.1-2025-04-14_TWO_SHOT,1024,Yes,2,0.61,0.82,0.83,0.82,1.0571300983428955
gpt-4.1-2025-04-14_TWO_SHOT,1024,Yes,3,0.39,0.78,0.81,0.76,1.2046744763096677
gpt-4.1-2025-04-14_TWO_SHOT,2048,No,1,0.76,0.81,0.8,0.84,1.2130781335215415
gpt-4.1-2025-04-14_TWO_SHOT,2048,No,2,0.58,0.81,0.82,0.83,1.183883383654166
gpt-4.1-2025-04-14_TWO_SHOT,2048,No,3,0.39,0.8,0.79,0.81,1.2356724497638172
gpt-4.1-2025-04-14_TWO_SHOT,2048,Yes,1,0.77,0.82,0.81,0.84,0.9851628042036488
gpt-4.1-2025-04-14_TWO_SHOT,2048,Yes,2,0.67,0.85,0.85,0.86,1.0832576129747473
gpt-4.1-2025-04-14_TWO_SHOT,2048,Yes,3,0.46,0.81,0.84,0.81,1.1932765894298312
gpt-4.1-2025-04-14_TWO_SHOT,4096,No,1,0.74,0.8,0.78,0.82,1.165400581975137
gpt-4.1-2025-04-14_TWO_SHOT,4096,No,2,0.59,0.81,0.81,0.83,1.0675020217895508
gpt-4.1-2025-04-14_TWO_SHOT,4096,No,3,0.41,0.8,0.81,0.81,1.2381376043150696
gpt-4.1-2025-04-14_TWO_SHOT,4096,Yes,1,0.74,0.8,0.78,0.82,1.0498554091299734
gpt-4.1-2025-04-14_TWO_SHOT,4096,Yes,2,0.65,0.84,0.85,0.86,1.0052592374276423
gpt-4.1-2025-04-14_TWO_SHOT,4096,Yes,3,0.47,0.82,0.83,0.83,1.1552447125881533
gpt-4.1-2025-04-14_TWO_SHOT,8192,No,1,0.76,0.81,0.8,0.84,1.040692690880068
gpt-4.1-2025-04-14_TWO_SHOT,8192,No,2,0.59,0.82,0.82,0.83,1.2518969445988752
gpt-4.1-2025-04-14_TWO_SHOT,8192,No,3,0.41,0.79,0.79,0.8,1.2877637977841534
