set,split,concern_count,cross_concern_file_overlap,overlaps_reference_set,n_files,n_hunks,hunks_per_file,distinct_function_contexts,function_context_coverage,within_function_coediting,median_line_gap,total_changed_lines,set1_variant
synthetic,train,3.0,0.0,False,3,3,1.0,3,1.0,0,,34,full
synthetic,train,3.0,0.0,False,3,4,1.3333333333333333,3,0.75,0,472.0,10,full
synthetic,train,3.0,0.0,False,6,9,1.5,2,0.2222222222222222,0,99.0,191,full
synthetic,train,3.0,0.0,False,4,4,1.0,2,0.5,0,,41,full
synthetic,train,3.0,0.0,False,3,4,1.3333333333333333,4,1.0,0,51.0,21,full
synthetic,train,3.0,0.0,False,8,12,1.5,10,0.9166666666666666,1,36.5,197,full
synthetic,train,3.0,0.0,False,3,8,2.6666666666666665,4,1.0,1,49.0,46,full
synthetic,train,3.0,0.0,False,5,6,1.2,2,0.5,1,76.0,435,full
synthetic,train,3.0,0.0,False,3,3,1.0,3,1.0,0,,7,full
synthetic,train,3.0,0.0,False,18,31,1.7222222222222223,22,0.8709677419354839,1,22.0,188,full
synthetic,train,3.0,0.0,False,3,4,1.3333333333333333,3,1.0,1,39.0,98,full
synthetic,train,3.0,0.0,False,4,4,1.0,4,1.0,0,,104,full
synthetic,train,3.0,0.0,False,3,3,1.0,3,1.0,0,,77,full
synthetic,train,3.0,0.0,False,6,9,1.5,2,0.2222222222222222,0,99.0,191,full
synthetic,train,3.0,0.0,True,12,51,4.25,21,0.9019607843137255,1,17.0,302,full
synthetic,train,3.0,0.0,False,3,4,1.3333333333333333,4,1.0,0,329.0,31,full
synthetic,train,3.0,0.0,False,6,9,1.5,5,0.8888888888888888,1,50.0,101,full
synthetic,train,3.0,0.0,False,4,4,1.0,3,0.75,0,,39,full
synthetic,train,3.0,0.0,False,3,6,2.0,2,0.6666666666666666,1,48.0,89,full
synthetic,train,3.0,0.0,False,7,15,2.142857142857143,15,1.0,0,39.0,122,full
synthetic,train,3.0,0.0,False,9,21,2.3333333333333335,12,0.8571428571428571,1,20.0,155,full
synthetic,train,3.0,0.0,True,5,5,1.0,5,1.0,0,,43,full
synthetic,train,3.0,0.0,False,4,7,1.75,3,0.7142857142857143,1,42.0,28,full
synthetic,train,3.0,0.0,True,5,5,1.0,3,0.6,0,,34,full
synthetic,train,3.0,0.0,False,15,24,1.6,11,0.75,1,26.0,413,full
synthetic,train,3.0,0.0,False,6,7,1.1666666666666667,4,0.7142857142857143,1,15.0,52,full
synthetic,train,3.0,0.0,False,4,4,1.0,3,0.75,0,,59,full
synthetic,train,3.0,0.0,False,8,12,1.5,11,1.0,1,16.0,38,full
synthetic,train,3.0,0.0,False,3,3,1.0,2,0.6666666666666666,0,,147,full
synthetic,train,3.0,0.0,False,5,9,1.8,7,1.0,1,18.5,65,full
synthetic,train,3.0,0.0,False,5,8,1.6,4,0.625,1,17.0,194,full
synthetic,train,3.0,0.0,False,3,6,2.0,4,1.0,1,11.0,20,full
synthetic,train,3.0,0.0,True,14,49,3.5,39,0.9795918367346939,1,33.0,308,full
synthetic,train,3.0,0.0,False,5,5,1.0,4,0.8,0,,43,full
synthetic,train,3.0,0.0,False,11,20,1.8181818181818181,12,0.85,1,123.0,178,full
